name,brand,category,trackIMEI,simType,purchasePrice,sellingPrice,gstPercent,stockQuantity,lowStockThreshold,description,images,warrantyPeriod
OnePlus Buds Pro 2,OnePlus,Wireless Earbuds,false,None,8000,11999,18,25,5,Deep bass and long battery,"https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=800",1 Year
Realme Buds Air 5,Realme,Wireless Earbuds,false,None,2500,3499,18,50,10,Best budget TWS with ANC,"https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=800",1 Year
Boat Rockerz 450,Boat,Earphones,false,None,900,1499,18,100,20,On-ear headphones with 15H playback,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800",1 Year
JBL Wired In-Ear C100SI,JBL,Earphones,false,None,600,999,18,80,20,Deep bass wired earphones,"https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800",1 Year
Spigen Rugged Armor Case,Spigen,Back Covers,false,None,800,1499,18,100,15,Durable protection for iPhone 15,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",None
Casology Nano Pop Case,Samsung,Back Covers,false,None,1100,1899,18,40,10,Stylish dual tone case for S24,"https://images.unsplash.com/photo-1601593346740-925612772716?w=800",None
Ringke Fusion-X Case,Xiaomi,Back Covers,false,None,1000,1699,18,30,8,Tough clear case for Redmi phones,"https://images.unsplash.com/photo-1601593346740-925612772716?w=800",None
OtterBox Defender Series,Apple,Back Covers,false,None,4000,5999,18,15,3,Ultimate protection for active users,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",Lifetime
iPhone 15 Screen Protector,Apple,Screen Guards,false,None,200,599,18,200,50,9H hardness tempered glass,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",None
Privacy Screen Guard,Universal,Screen Guards,false,None,300,799,18,150,30,Blocks side view for privacy,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",None
Curved Glass Protection,Samsung,Screen Guards,false,None,400,999,18,80,20,Full coverage for S24 Ultra,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",None
Zagg InvisibleShield,Universal,Screen Guards,false,None,1500,2499,18,40,5,Premium impact protection,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",1 Year
Nano Liquid Screen Guard,Universal,Screen Guards,false,None,600,1199,18,30,5,Liquid coating for invisible protection,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",None
SanDisk 128GB MicroSD,SanDisk,Memory Cards,false,None,800,1299,18,100,20,UHS-I performance for mobiles,"https://images.unsplash.com/photo-1611001407983-c6293994348a?w=800",10 Years
Samsung 256GB Evo Plus,Samsung,Memory Cards,false,None,1800,2499,18,50,10,Reliable storage for 4K video,"https://images.unsplash.com/photo-1611001407983-c6293994348a?w=800",10 Years
Kingston 64GB Canvas,Kingston,Memory Cards,false,None,400,699,18,150,30,Standard memory card for accessories,"https://images.unsplash.com/photo-1611001407983-c6293994348a?w=800",Lifetime
USB-C to Lightning Cable,Apple,Cables,false,None,1200,1899,18,100,20,Original 1M charging cable,"https://images.unsplash.com/photo-1586717791821-3f44a563eb4c?w=800",None
USB-C to USB-C 2.0,Samsung,Cables,false,None,600,999,18,150,30,Fast data transfer and charging,"https://images.unsplash.com/photo-1586717791821-3f44a563eb4c?w=800",None
Micro USB Charging Cable,Universal,Cables,false,None,150,399,18,200,50,Compatibility for older devices,"https://images.unsplash.com/photo-1586717791821-3f44a563eb4c?w=800",None
HDMI to Type-C Adapter,Universal,Cables,false,None,1500,2499,18,20,5,Mirror screen to monitor or TV,"https://images.unsplash.com/photo-1586717791821-3f44a563eb4c?w=800",6 Months
Apple Watch Series 9,Apple,Smart Watches,false,None,40000,41900,18,15,3,Double tap gesture and health sensors,"https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=800",1 Year
Samsung Galaxy Watch 6,Samsung,Smart Watches,false,None,25000,29999,18,20,5,Sleep coaching and heart rate,"https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=800",1 Year
JBL Flip 6,JBL,Bluetooth Speakers,false,None,9000,11999,18,25,5,Bold sound for every adventure,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800",1 Year
Marshall Emberton II,Marshall,Bluetooth Speakers,false,None,15000,17499,18,10,2,360 sound in a compact frame,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800",1 Year
Universal Car Mount,Universal,Car Accessories,false,None,800,1299,18,60,15,Strong suction cup for car dash,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",1 Year
Car Charger 30W,Spigen,Car Accessories,false,None,1000,1499,18,40,10,Dual port fast car charger,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",1 Year
Apple AirTag,Apple,Others,false,None,2500,3499,18,40,10,Precision tracking for keys and bags,"https://images.unsplash.com/photo-1620674156044-52b714665d46?w=800",1 Year
Leather AirTag Loop,Apple,Others,false,None,2000,3900,18,20,5,Premium leather holder for AirTag,"https://images.unsplash.com/photo-1620674156044-52b714665d46?w=800",None
Phone Ring Holder,Universal,Accessories,false,None,100,299,18,300,50,Better grip for all smartphones,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",None
PopSockets Grip,Universal,Accessories,false,None,300,599,18,200,40,Trendy swappable phone grip,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",None
DJI Osmo Mobile 6,DJI,Others,false,None,11000,13990,18,10,2,Intelligent gimbal for mobile video,"https://images.unsplash.com/photo-1594465919760-441fe5908ab0?w=800",1 Year
Insta360 Flow,Insta360,Others,false,None,12000,15900,18,8,2,AI tracking stabilizer for phone,"https://images.unsplash.com/photo-1594465919760-441fe5908ab0?w=800",1 Year
Joby GorillaPod Mobile,Joby,Others,false,None,2500,3499,18,30,10,Flexible tripod for content creation,"https://images.unsplash.com/photo-1594465919760-441fe5908ab0?w=800",1 Year
Ring Light with Stand,Universal,Others,false,None,1500,2499,18,50,15,Professional lighting for selfies,"https://images.unsplash.com/photo-1594465919760-441fe5908ab0?w=800",6 Months
Mobile Charging Station,Universal,Chargers,false,None,2000,2999,18,25,5,Multiple charging ports in one dock,"https://images.unsplash.com/photo-1615526675159-e248c3021d3f?w=800",6 Months
Screen Cleaning Kit,Universal,Accessories,false,None,200,499,18,100,20,Spray and microfiber for displays,"https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800",None
Bike Mobile Holder,Universal,Accessories,false,None,500,899,18,40,10,Sturdy mount for bicycle or bike,"https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=800",6 Months
